rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train
no_dr,0.05,87.8,0.724,86.4,0.713,90.0,0.745,1
no_dr,0.1,89.4,0.708,87.2,0.691,90.8,0.720,1
no_dr,0.15,89.8,0.709,86.8,0.687,90.2,0.713,1
no_dr,0.2,89.0,0.715,86.0,0.689,89.6,0.720,1
no_dr,0.25,87.4,0.728,84.2,0.701,87.8,0.731,1
no_dr,0.3,88.6,0.761,85.2,0.730,88.8,0.763,1
no_dr,0.35,89.2,0.778,85.8,0.747,89.4,0.780,1
no_dr,0.4,90.2,0.790,87.0,0.762,90.6,0.794,1
no_dr,0.45,87.8,0.759,84.4,0.727,88.0,0.761,1
no_dr,0.5,90.0,0.804,86.6,0.773,90.2,0.806,1
no_rd,0.05,77.0,0.620,74.0,0.590,89.0,0.729,0
no_rd,0.1,83.0,0.673,78.0,0.636,93.0,0.771,0
no_rd,0.15,80.0,0.648,75.0,0.604,89.0,0.738,0
no_rd,0.2,84.0,0.700,75.0,0.622,88.0,0.738,0
no_rd,0.25,82.0,0.690,74.0,0.628,88.0,0.749,0
no_rd,0.3,81.0,0.710,72.0,0.629,85.0,0.744,0
no_rd,0.35,86.0,0.743,74.0,0.639,87.0,0.754,0
no_rd,0.4,85.0,0.749,75.0,0.658,88.0,0.775,0
no_rd,0.45,83.0,0.744,72.0,0.651,85.0,0.764,0
no_rd,0.5,85.0,0.763,74.0,0.665,87.0,0.785,0
rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train
no_dr,0.05,71.6,0.852,71.6,0.852,71.6,0.852,1
no_dr,0.1,68.6,0.883,68.6,0.883,68.6,0.883,1
no_dr,0.15,67.4,0.902,67.4,0.902,67.4,0.902,1
no_dr,0.2,70.6,0.911,70.6,0.911,70.6,0.911,1
no_dr,0.25,70.2,0.935,70.2,0.935,70.2,0.935,1
no_dr,0.3,70.4,0.944,70.4,0.944,70.4,0.944,1
no_dr,0.35,72.0,0.949,72.0,0.949,72.0,0.949,1
no_dr,0.4,72.4,0.959,72.4,0.959,72.4,0.959,1
no_dr,0.45,73.6,0.956,73.6,0.956,73.6,0.956,1
no_dr,0.5,73.6,0.965,73.6,0.965,73.6,0.965,1
no_rd,0.05,53.0,0.896,50.0,0.894,69.0,0.916,0
no_rd,0.1,63.0,0.894,54.0,0.886,73.0,0.908,0
no_rd,0.15,65.0,0.910,55.0,0.907,74.0,0.915,0
no_rd,0.2,68.0,0.938,55.0,0.927,74.0,0.943,0
no_rd,0.25,71.0,0.951,57.0,0.949,75.0,0.949,0
no_rd,0.3,71.0,0.920,58.0,0.915,77.0,0.926,0
no_rd,0.35,74.0,0.954,58.0,0.957,76.0,0.956,0
no_rd,0.4,73.0,0.969,57.0,0.968,76.0,0.971,0
no_rd,0.45,81.0,0.966,64.0,0.969,83.0,0.967,0
no_rd,0.5,77.0,0.970,60.0,0.973,78.0,0.970,0
rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
no_dr,0.05,70.466,0.861,70.278,0.861,70.708,0.862,1
rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
no_dr,0.05,67.6,0.865,67.6,0.865,67.6,0.865,1
no_dr,0.1,70.2,0.872,70.2,0.872,70.2,0.872,1
no_dr,0.15,70.8,0.899,70.8,0.899,70.8,0.899,1
no_dr,0.2,69.8,0.928,69.8,0.928,69.8,0.928,1
no_dr,0.25,68.4,0.930,68.4,0.930,68.4,0.930,1
no_dr,0.3,72.0,0.931,72.0,0.931,72.0,0.931,1
no_dr,0.35,74.4,0.954,74.4,0.954,74.4,0.954,1
no_dr,0.4,72.6,0.968,72.6,0.968,72.6,0.968,1
no_dr,0.45,73.2,0.955,73.2,0.955,73.2,0.955,1
no_dr,0.5,75.2,0.974,75.2,0.974,75.2,0.974,1
no_rd,0.05,54.0,0.874,52.0,0.872,71.0,0.900,0
no_rd,0.1,60.0,0.912,52.0,0.912,70.0,0.924,0
no_rd,0.15,64.0,0.905,54.0,0.905,72.0,0.908,0
no_rd,0.2,66.0,0.949,55.0,0.962,73.0,0.956,0
no_rd,0.25,69.0,0.940,56.0,0.937,75.0,0.943,0
no_rd,0.3,70.0,0.958,56.0,0.960,74.0,0.962,0
no_rd,0.35,74.0,0.966,60.0,0.970,79.0,0.967,0
no_rd,0.4,71.0,0.969,56.0,0.967,74.0,0.970,0
no_rd,0.45,73.0,0.978,57.0,0.973,75.0,0.979,0
no_rd,0.5,73.0,0.985,57.0,0.984,76.0,0.985,0
rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
no_dr,0.05,68.8,0.847,68.8,0.847,68.8,0.847,1
no_dr,0.1,71.8,0.874,71.8,0.874,71.8,0.874,1
no_dr,0.15,68.6,0.903,68.6,0.903,68.6,0.903,1
no_dr,0.2,70.2,0.917,70.2,0.917,70.2,0.917,1
no_dr,0.25,71.6,0.929,71.6,0.929,71.6,0.929,1
no_dr,0.3,67.6,0.950,67.6,0.950,67.6,0.950,1
no_dr,0.35,72.2,0.954,72.2,0.954,72.2,0.954,1
no_dr,0.4,71.4,0.959,71.4,0.959,71.4,0.959,1
no_dr,0.45,74.2,0.962,74.2,0.962,74.2,0.962,1
no_dr,0.5,76.4,0.974,76.4,0.974,76.4,0.974,1
no_rd,0.05,56.0,0.875,51.0,0.866,70.0,0.894,0
no_rd,0.1,61.0,0.922,53.0,0.916,72.0,0.933,0
no_rd,0.15,64.0,0.873,55.0,0.868,74.0,0.881,0
no_rd,0.2,65.0,0.947,56.0,0.942,74.0,0.950,0
no_rd,0.25,70.0,0.954,56.0,0.956,75.0,0.956,0
no_rd,0.3,71.0,0.945,58.0,0.954,76.0,0.953,0
no_rd,0.35,75.0,0.937,58.0,0.929,76.0,0.941,0
no_rd,0.4,76.0,0.975,60.0,0.982,79.0,0.976,0
no_rd,0.45,74.0,0.973,59.0,0.971,78.0,0.975,0
no_rd,0.5,73.0,0.973,58.0,0.970,77.0,0.974,0
rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
no_dr,0.05,69.6,0.843,69.6,0.843,69.6,0.843,1
no_dr,0.1,71.0,0.872,71.0,0.872,71.0,0.872,1
no_dr,0.15,68.2,0.888,68.2,0.888,68.2,0.888,1
no_dr,0.2,69.6,0.906,69.6,0.906,69.6,0.906,1
no_dr,0.25,69.4,0.932,69.4,0.932,69.4,0.932,1
no_dr,0.3,73.6,0.947,73.6,0.947,73.6,0.947,1
no_dr,0.35,72.2,0.948,72.2,0.948,72.2,0.948,1
no_dr,0.4,72.4,0.964,72.4,0.964,72.4,0.964,1
no_dr,0.45,71.4,0.960,71.4,0.960,71.4,0.960,1
no_dr,0.5,75.4,0.968,75.4,0.968,75.4,0.968,1
no_rd,0.05,56.0,0.917,50.0,0.919,69.0,0.932,0
no_rd,0.1,64.0,0.886,57.0,0.886,76.0,0.897,0
no_rd,0.15,62.0,0.894,50.0,0.887,69.0,0.905,0
no_rd,0.2,67.0,0.895,57.0,0.888,76.0,0.903,0
no_rd,0.25,64.0,0.938,53.0,0.939,72.0,0.944,0
no_rd,0.3,69.0,0.952,55.0,0.952,73.0,0.949,0
no_rd,0.35,79.0,0.943,63.0,0.943,81.0,0.945,0
no_rd,0.4,78.0,0.971,62.0,0.978,81.0,0.971,0
no_rd,0.45,78.0,0.969,61.0,0.961,79.0,0.969,0
no_rd,0.5,73.0,0.983,56.0,0.978,73.0,0.983,0
rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
no_dr,0.05,64.2,0.865,64.2,0.865,64.2,0.865,1
no_dr,0.1,71.0,0.870,71.0,0.870,71.0,0.870,1
no_dr,0.15,68.8,0.895,68.8,0.895,68.8,0.895,1
no_dr,0.2,72.0,0.921,72.0,0.921,72.0,0.921,1
no_dr,0.25,68.2,0.936,68.2,0.936,68.2,0.936,1
no_dr,0.3,71.2,0.941,71.2,0.941,71.2,0.941,1
no_dr,0.35,73.0,0.956,73.0,0.956,73.0,0.956,1
no_dr,0.4,73.4,0.961,73.4,0.961,73.4,0.961,1
no_dr,0.45,73.2,0.964,73.2,0.964,73.2,0.964,1
no_dr,0.5,73.0,0.980,73.0,0.980,73.0,0.980,1
no_rd,0.05,61.0,0.871,56.0,0.868,75.0,0.890,0
no_rd,0.1,61.0,0.869,53.0,0.870,72.0,0.885,0
no_rd,0.15,66.0,0.875,56.0,0.872,74.0,0.894,0
no_rd,0.2,64.0,0.912,53.0,0.895,72.0,0.922,0
no_rd,0.25,75.0,0.959,60.0,0.966,78.0,0.960,0
no_rd,0.3,72.0,0.935,58.0,0.936,77.0,0.939,0
no_rd,0.35,73.0,0.951,58.0,0.945,77.0,0.950,0
no_rd,0.4,76.0,0.967,61.0,0.969,80.0,0.969,0
no_rd,0.45,73.0,0.967,58.0,0.963,76.0,0.968,0
no_rd,0.5,75.0,0.952,59.0,0.959,76.0,0.961,0
rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
no_dr,0.05,68.4,0.862,68.4,0.862,68.4,0.862,1
no_dr,0.1,71.2,0.872,71.2,0.872,71.2,0.872,1
no_dr,0.15,70.6,0.902,70.6,0.902,70.6,0.902,1
no_dr,0.2,71.4,0.912,71.4,0.912,71.4,0.912,1
no_dr,0.25,68.6,0.936,68.6,0.936,68.6,0.936,1
no_dr,0.3,70.2,0.937,70.2,0.937,70.2,0.937,1
no_dr,0.35,71.6,0.958,71.6,0.958,71.6,0.958,1
no_dr,0.4,73.0,0.960,73.0,0.960,73.0,0.960,1
no_dr,0.45,75.2,0.965,75.2,0.965,75.2,0.965,1
no_dr,0.5,73.2,0.977,73.2,0.977,73.2,0.977,1
no_rd,0.05,59.0,0.893,53.0,0.899,72.0,0.907,0
no_rd,0.1,67.0,0.931,58.0,0.935,77.0,0.932,0
no_rd,0.15,71.0,0.890,59.0,0.894,78.0,0.900,0
no_rd,0.2,69.0,0.943,57.0,0.948,76.0,0.948,0
no_rd,0.25,71.0,0.955,59.0,0.948,78.0,0.958,0
no_rd,0.3,72.0,0.941,57.0,0.934,76.0,0.944,0
no_rd,0.35,72.0,0.975,56.0,0.978,75.0,0.976,0
no_rd,0.4,76.0,0.973,59.0,0.971,77.0,0.974,0
no_rd,0.45,76.0,0.974,59.0,0.970,77.0,0.974,0
no_rd,0.5,78.0,0.970,61.0,0.968,79.0,0.971,0
rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
no_dr,0.05,74.2,0.767,65.4,0.766,90.4,0.789,1
no_dr,0.1,77.4,0.703,65.0,0.703,89.4,0.722,1
no_dr,0.15,80.4,0.663,64.8,0.669,88.4,0.684,1
no_dr,0.2,81.2,0.652,63.8,0.659,87.0,0.665,1
no_dr,0.25,83.8,0.647,65.0,0.649,89.4,0.652,1
no_dr,0.3,82.2,0.667,63.0,0.672,87.0,0.675,1
no_dr,0.35,85.0,0.701,65.0,0.700,88.6,0.706,1
no_dr,0.4,87.4,0.714,65.8,0.706,90.0,0.717,1
no_dr,0.45,86.6,0.741,65.0,0.744,88.8,0.741,1
no_dr,0.5,84.8,0.756,63.2,0.756,87.0,0.757,1
no_rd,0.05,66.0,0.761,58.0,0.772,92.0,0.788,0
no_rd,0.1,71.0,0.741,53.0,0.761,85.0,0.770,0
no_rd,0.15,75.0,0.648,56.0,0.656,89.0,0.659,0
no_rd,0.2,83.0,0.615,59.0,0.635,91.0,0.627,0
no_rd,0.25,80.0,0.658,56.0,0.651,88.0,0.666,0
no_rd,0.3,78.0,0.704,53.0,0.748,83.0,0.732,0
no_rd,0.35,84.0,0.694,55.0,0.688,84.0,0.709,0
no_rd,0.4,83.0,0.722,54.0,0.779,83.0,0.741,0
no_rd,0.45,79.0,0.727,53.0,0.736,85.0,0.740,0
no_rd,0.5,83.0,0.744,56.0,0.759,86.0,0.752,0
