rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train
1000,0.05,64.0,0.861,64.0,0.861,64.0,0.861,1
1000,0.1,71.0,0.870,71.0,0.870,71.0,0.870,1
1000,0.15,68.6,0.894,68.6,0.894,68.6,0.894,1
1000,0.2,71.6,0.922,71.6,0.922,71.6,0.922,1
1000,0.25,68.8,0.931,68.8,0.931,68.8,0.931,1
1000,0.3,71.4,0.941,71.4,0.941,71.4,0.941,1
1000,0.35,73.4,0.948,73.4,0.948,73.4,0.948,1
1000,0.4,73.0,0.963,73.0,0.963,73.0,0.963,1
1000,0.45,73.4,0.962,73.4,0.962,73.4,0.962,1
1000,0.5,73.0,0.973,73.0,0.973,73.0,0.973,1
1000,0.05,62.0,0.861,58.0,0.852,76.0,0.882,0
1000,0.1,63.0,0.873,55.0,0.877,73.0,0.887,0
1000,0.15,66.0,0.880,57.0,0.879,74.0,0.892,0
1000,0.2,64.0,0.926,53.0,0.916,71.0,0.933,0
1000,0.25,73.0,0.962,60.0,0.961,77.0,0.963,0
1000,0.3,72.0,0.926,59.0,0.926,77.0,0.931,0
1000,0.35,74.0,0.959,58.0,0.950,76.0,0.960,0
1000,0.4,76.0,0.968,62.0,0.971,80.0,0.970,0
1000,0.45,73.0,0.966,59.0,0.968,76.0,0.970,0
1000,0.5,75.0,0.955,59.0,0.955,76.0,0.955,0
rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
1000,0.05,68.4,0.858,68.4,0.858,68.4,0.858,1
1000,0.1,71.4,0.867,71.4,0.867,71.4,0.867,1
1000,0.15,70.6,0.898,70.6,0.898,70.6,0.898,1
1000,0.2,71.8,0.907,71.8,0.907,71.8,0.907,1
1000,0.25,69.2,0.939,69.2,0.939,69.2,0.939,1
1000,0.3,70.4,0.937,70.4,0.937,70.4,0.937,1
1000,0.35,71.4,0.953,71.4,0.953,71.4,0.953,1
1000,0.4,72.8,0.963,72.8,0.963,72.8,0.963,1
1000,0.45,74.0,0.971,74.0,0.971,74.0,0.971,1
1000,0.5,73.4,0.974,73.4,0.974,73.4,0.974,1
1000,0.05,59.0,0.886,54.0,0.894,72.0,0.903,0
1000,0.1,67.0,0.935,59.0,0.930,77.0,0.936,0
1000,0.15,69.0,0.902,58.0,0.909,76.0,0.910,0
1000,0.2,69.0,0.945,57.0,0.950,75.0,0.949,0
1000,0.25,71.0,0.946,60.0,0.941,78.0,0.950,0
1000,0.3,72.0,0.946,58.0,0.942,76.0,0.949,0
1000,0.35,72.0,0.972,58.0,0.971,76.0,0.970,0
1000,0.4,75.0,0.980,59.0,0.981,76.0,0.980,0
1000,0.45,78.0,0.976,62.0,0.973,79.0,0.976,0
1000,0.5,79.0,0.975,63.0,0.973,80.0,0.976,0
