rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
300,0.05,58.0,0.780,53.8,0.780,62.4,0.785,1
300,0.1,65.0,0.822,60.2,0.825,68.8,0.829,1
300,0.15,66.2,0.837,60.6,0.835,68.8,0.840,1
300,0.2,68.2,0.857,62.4,0.853,70.4,0.860,1
300,0.25,67.6,0.875,61.0,0.878,68.8,0.877,1
300,0.3,67.2,0.901,61.0,0.897,69.2,0.902,1
300,0.35,69.6,0.904,63.2,0.906,71.4,0.904,1
300,0.4,72.2,0.906,65.2,0.907,72.6,0.907,1
300,0.45,72.4,0.911,66.2,0.913,74.2,0.911,1
300,0.5,71.2,0.920,64.0,0.922,72.0,0.920,1
300,0.05,55.0,0.849,44.0,0.838,68.0,0.869,0
300,0.1,63.0,0.851,53.0,0.850,77.0,0.876,0
300,0.15,64.0,0.844,52.0,0.839,76.0,0.861,0
300,0.2,65.0,0.850,51.0,0.844,75.0,0.870,0
300,0.25,67.0,0.900,53.0,0.894,77.0,0.906,0
300,0.3,66.0,0.912,50.0,0.900,74.0,0.921,0
300,0.35,70.0,0.903,52.0,0.906,76.0,0.910,0
300,0.4,74.0,0.916,57.0,0.922,80.0,0.921,0
300,0.45,70.0,0.922,51.0,0.911,73.0,0.925,0
300,0.5,73.0,0.937,57.0,0.927,80.0,0.940,0
