rd,Dev.,Wrong,C.,n_C.,Adv.,C.,n_C.,Pure,C.,n_C.,Train 
100,0.01,20.260,0.936,0.975,19.242,0.943,0.973,18.996,0.943,0.975,1
100,0.02,22.318,0.906,0.964,21.302,0.907,0.962,21.052,0.907,0.964,1
100,0.03,25.566,0.874,0.948,24.56,0.873,0.948,24.302,0.872,0.948,1
100,0.04,30.154,0.846,0.928,29.16,0.843,0.928,28.894,0.843,0.928,1
100,0.05,36.550,0.823,0.906,35.572,0.820,0.907,35.292,0.820,0.906,1
100,0.06,44.262,0.813,0.883,43.298,0.810,0.884,43.006,0.810,0.883,1
100,0.07,52.830,0.814,0.866,51.88,0.812,0.867,51.576,0.812,0.865,1
100,0.08,61.146,0.823,0.853,60.198,0.821,0.856,59.892,0.821,0.853,1
100,0.09,68.386,0.836,0.844,67.446,0.834,0.847,67.138,0.834,0.844,1
100,0.1,74.358,0.849,0.835,73.422,0.847,0.840,73.108,0.847,0.835,1
100,0.01,91.080,0.675,0.675,91.17,0.675,0.675,89.02,0.675,0.014,1
100,0.02,91.080,0.675,0.675,91.17,0.675,0.675,89.02,0.675,0.014,1
100,0.03,91.080,0.675,0.675,91.17,0.675,0.675,89.02,0.675,0.014,1
100,0.04,91.080,0.675,0.675,91.17,0.675,0.675,89.02,0.675,0.014,1
100,0.05,91.080,0.675,0.675,91.17,0.675,0.675,89.02,0.675,0.014,1
100,0.06,91.080,0.675,0.675,91.17,0.675,0.675,89.02,0.675,0.014,1
100,0.07,91.080,0.675,0.675,91.17,0.675,0.675,89.02,0.675,0.014,1
100,0.08,91.080,0.675,0.675,91.17,0.675,0.675,89.02,0.675,0.014,1
100,0.09,91.080,0.675,0.675,91.17,0.675,0.675,89.02,0.675,0.014,1
100,0.1,91.080,0.675,0.675,91.17,0.675,0.675,89.02,0.675,0.014,1
rd,Dev.,Wrong,C.,n_C.,Adv.,C.,n_C.,Pure,C.,n_C.,Train 
100,0.01,20.260,0.936,0.975,19.242,0.943,0.973,18.996,0.943,0.975,1
100,0.02,22.318,0.906,0.964,21.302,0.907,0.962,21.052,0.907,0.964,1
100,0.03,25.566,0.874,0.948,24.56,0.873,0.948,24.302,0.872,0.948,1
100,0.04,30.154,0.846,0.928,29.16,0.843,0.928,28.894,0.843,0.928,1
100,0.05,36.550,0.823,0.906,35.572,0.820,0.907,35.292,0.820,0.906,1
100,0.06,44.262,0.813,0.883,43.298,0.810,0.884,43.006,0.810,0.883,1
100,0.07,52.830,0.814,0.866,51.88,0.812,0.867,51.576,0.812,0.865,1
100,0.08,61.146,0.823,0.853,60.198,0.821,0.856,59.892,0.821,0.853,1
100,0.09,68.386,0.836,0.844,67.446,0.834,0.847,67.138,0.834,0.844,1
100,0.1,74.358,0.849,0.835,73.422,0.847,0.840,73.108,0.847,0.835,1
100,0.01,91.080,0.675,0.675,91.17,0.675,0.675,89.02,0.675,0.014,1
100,0.02,91.080,0.675,0.675,91.17,0.675,0.675,89.02,0.675,0.014,1
100,0.03,91.080,0.675,0.675,91.17,0.675,0.675,89.02,0.675,0.014,1
100,0.04,91.080,0.675,0.675,91.17,0.675,0.675,89.02,0.675,0.014,1
100,0.05,91.080,0.675,0.675,91.17,0.675,0.675,89.02,0.675,0.014,1
100,0.06,91.080,0.675,0.675,91.17,0.675,0.675,89.02,0.675,0.014,1
100,0.07,91.080,0.675,0.675,91.17,0.675,0.675,89.02,0.675,0.014,1
100,0.08,91.080,0.675,0.675,91.17,0.675,0.675,89.02,0.675,0.014,1
100,0.09,91.080,0.675,0.675,91.17,0.675,0.675,89.02,0.675,0.014,1
100,0.1,91.080,0.675,0.675,91.17,0.675,0.675,89.02,0.675,0.014,1
