rd,Dev.,Wrong,C.,n_C.,Adv.,C.,n_C.,Pure,C.,n_C.,Train
30,0.01,21.774,0.917,0.971,19.066,0.938,0.965,18.38,0.938,0.971,1
30,0.02,23.100,0.901,0.965,20.43,0.911,0.960,19.706,0.911,0.965,1
30,0.03,24.804,0.884,0.957,22.156,0.887,0.954,21.412,0.887,0.957,1
30,0.04,26.934,0.867,0.949,24.326,0.865,0.946,23.542,0.865,0.949,1
30,0.05,29.396,0.853,0.938,26.822,0.848,0.937,26.0,0.848,0.938,1
30,0.06,32.438,0.839,0.927,29.882,0.832,0.926,29.042,0.832,0.927,1
30,0.07,35.930,0.828,0.914,33.4,0.821,0.914,32.536,0.821,0.914,1
30,0.08,39.938,0.819,0.901,37.456,0.812,0.902,36.554,0.812,0.901,1
30,0.09,44.344,0.814,0.888,41.888,0.807,0.890,40.956,0.807,0.889,1
30,0.1,48.996,0.813,0.875,46.56,0.806,0.878,45.608,0.806,0.875,1
30,0.01,91.080,0.797,0.797,91.31,0.797,0.797,87.96,0.797,0.017,1
30,0.02,91.080,0.797,0.797,91.31,0.797,0.797,87.96,0.797,0.017,1
30,0.03,91.080,0.797,0.797,91.31,0.797,0.797,87.96,0.797,0.017,1
30,0.04,91.080,0.797,0.797,91.31,0.797,0.797,87.96,0.797,0.017,1
30,0.05,91.080,0.797,0.797,91.31,0.797,0.797,87.96,0.797,0.017,1
30,0.06,91.080,0.797,0.797,91.31,0.797,0.797,87.96,0.797,0.017,1
30,0.07,91.080,0.797,0.797,91.31,0.797,0.797,87.96,0.797,0.017,1
30,0.08,91.080,0.797,0.797,91.31,0.797,0.797,87.96,0.797,0.017,1
30,0.09,91.080,0.797,0.797,91.31,0.797,0.797,87.96,0.797,0.017,1
30,0.1,91.080,0.797,0.797,91.31,0.797,0.797,87.96,0.797,0.017,1
rd,Dev.,Wrong,C.,n_C.,Adv.,C.,n_C.,Pure,C.,n_C.,Train
30,0.01,21.774,0.917,0.971,19.066,0.938,0.965,18.38,0.938,0.971,1
30,0.02,23.1,0.901,0.965,20.43,0.911,0.960,19.706,0.911,0.965,1
30,0.03,24.804,0.884,0.957,22.156,0.887,0.954,21.412,0.887,0.957,1
30,0.04,26.934,0.867,0.949,24.326,0.865,0.946,23.542,0.865,0.949,1
30,0.05,29.396,0.853,0.938,26.822,0.848,0.937,26.0,0.848,0.938,1
30,0.06,32.44,0.839,0.927,29.884,0.832,0.926,29.044,0.832,0.927,1
30,0.07,35.93,0.828,0.914,33.4,0.821,0.914,32.536,0.821,0.914,1
30,0.08,39.936,0.819,0.901,37.454,0.812,0.902,36.552,0.812,0.901,1
30,0.09,44.346,0.814,0.888,41.89,0.807,0.890,40.958,0.807,0.889,1
30,0.1,48.996,0.813,0.875,46.56,0.806,0.878,45.608,0.806,0.875,1
30,0.01,91.08,0.797,0.797,91.31,0.797,0.797,87.96,0.797,0.797,1
30,0.02,91.08,0.797,0.797,91.31,0.797,0.797,87.96,0.797,0.797,1
30,0.03,91.08,0.797,0.797,91.31,0.797,0.797,87.96,0.797,0.797,1
30,0.04,91.08,0.797,0.797,91.31,0.797,0.797,87.96,0.797,0.797,1
30,0.05,91.08,0.797,0.797,91.31,0.797,0.797,87.96,0.797,0.797,1
30,0.06,91.08,0.797,0.797,91.31,0.797,0.797,87.96,0.797,0.797,1
30,0.07,91.08,0.797,0.797,91.31,0.797,0.797,87.96,0.797,0.797,1
30,0.08,91.08,0.797,0.797,91.31,0.797,0.797,87.96,0.797,0.797,1
30,0.09,91.08,0.797,0.797,91.31,0.797,0.797,87.96,0.797,0.797,1
30,0.1,91.08,0.797,0.797,91.31,0.797,0.797,87.96,0.797,0.797,1
rd,Dev.,Wrong,C.,n_C.,Adv.,C.,n_C.,Pure,C.,n_C.,Train 
rd,Dev.,Wrong,C.,n_C.,Adv.,C.,n_C.,Pure,C.,n_C.,Train 
30,0.01,21.774,0.917,0.971,19.066,0.938,0.965,18.38,0.938,0.971,1
30,0.02,23.1,0.901,0.965,20.43,0.911,0.960,19.706,0.911,0.965,1
30,0.03,24.804,0.884,0.957,22.156,0.887,0.954,21.412,0.887,0.957,1
