rd,Dev.,Wrong,C.,n_C.,Adv.,C.,n_C.,Pure,C.,n_C.,Train
30,0.01,2.140,0.646,0.974,0.358,0.478,0.968,0.348,0.480,0.974,1
30,0.02,2.558,0.651,0.971,0.784,0.504,0.966,0.766,0.506,0.971,1
30,0.03,3.064,0.656,0.968,1.296,0.532,0.964,1.272,0.534,0.968,1
30,0.04,3.662,0.660,0.965,1.898,0.554,0.961,1.87,0.556,0.965,1
30,0.05,4.310,0.667,0.961,2.55,0.578,0.958,2.518,0.579,0.961,1
30,0.06,5.102,0.671,0.958,3.352,0.594,0.955,3.31,0.596,0.958,1
30,0.07,5.848,0.682,0.953,4.106,0.616,0.951,4.056,0.618,0.953,1
30,0.08,6.732,0.689,0.949,5.002,0.633,0.947,4.94,0.635,0.949,1
30,0.09,7.742,0.695,0.944,6.022,0.646,0.943,5.95,0.647,0.944,1
30,0.1,8.890,0.700,0.939,7.172,0.658,0.938,7.098,0.659,0.939,1
30,0.01,3.220,0.697,0.976,0.43,0.481,0.969,0.41,0.485,0.976,1
30,0.02,3.590,0.705,0.974,0.81,0.505,0.968,0.78,0.509,0.974,1
30,0.03,4.070,0.707,0.971,1.3,0.529,0.966,1.26,0.532,0.971,1
30,0.04,4.550,0.713,0.968,1.82,0.554,0.964,1.74,0.559,0.968,1
30,0.05,5.170,0.714,0.965,2.45,0.574,0.962,2.36,0.578,0.965,1
30,0.06,5.670,0.723,0.961,2.96,0.601,0.958,2.86,0.604,0.961,1
30,0.07,6.520,0.722,0.957,3.82,0.616,0.955,3.71,0.619,0.957,1
30,0.08,7.320,0.726,0.953,4.63,0.634,0.951,4.51,0.637,0.953,1
30,0.09,8.230,0.729,0.949,5.54,0.650,0.947,5.42,0.652,0.949,1
30,0.1,9.200,0.734,0.944,6.52,0.665,0.943,6.39,0.667,0.944,1
