rd,Dev.,Wrong,C.,n_C.,Adv.,C.,n_C.,Pure,C.,n_C.,Train 
no_dr,0.01,1.830,0.644,0.974,0.4,0.484,0.970,0.388,0.488,0.974,1
no_dr,0.02,2.450,0.644,0.970,1.024,0.520,0.967,1.008,0.522,0.970,1
no_dr,0.03,3.154,0.653,0.966,1.732,0.556,0.963,1.712,0.557,0.966,1
no_dr,0.04,4.054,0.660,0.962,2.646,0.584,0.959,2.612,0.586,0.962,1
no_dr,0.05,5.094,0.669,0.957,3.69,0.608,0.955,3.652,0.609,0.957,1
no_dr,0.06,6.246,0.680,0.951,4.856,0.631,0.949,4.804,0.632,0.951,1
no_dr,0.07,7.676,0.688,0.945,6.288,0.648,0.944,6.234,0.649,0.945,1
no_dr,0.08,9.184,0.699,0.938,7.798,0.666,0.938,7.742,0.667,0.938,1
no_dr,0.09,11.020,0.705,0.932,9.636,0.679,0.931,9.578,0.680,0.932,1
no_dr,0.1,13.028,0.713,0.924,11.652,0.691,0.924,11.586,0.692,0.924,1
no_dr,0.01,3.210,0.708,0.977,0.48,0.484,0.971,0.46,0.489,0.977,1
no_dr,0.02,3.630,0.723,0.973,0.92,0.530,0.968,0.88,0.534,0.973,1
no_dr,0.03,4.450,0.717,0.971,1.76,0.555,0.966,1.7,0.558,0.971,1
no_dr,0.04,5.210,0.724,0.966,2.52,0.592,0.963,2.46,0.594,0.966,1
no_dr,0.05,6.070,0.730,0.962,3.38,0.620,0.959,3.32,0.622,0.962,1
no_dr,0.06,7.020,0.736,0.956,4.36,0.642,0.954,4.27,0.645,0.956,1
no_dr,0.07,8.240,0.738,0.950,5.58,0.660,0.949,5.49,0.662,0.950,1
no_dr,0.08,9.540,0.742,0.944,6.89,0.677,0.943,6.79,0.678,0.944,1
no_dr,0.09,11.230,0.742,0.937,8.59,0.686,0.937,8.48,0.688,0.937,1
no_dr,0.1,12.820,0.750,0.929,10.19,0.703,0.929,10.07,0.704,0.929,1
