rd,Dev.,Correct,Conf.,Adv.,Conf.,Either,Conf.,Train 
10,0.01,0.942,0.473,0.858,0.479,7.1,0.661,1
10,0.02,1.976,0.506,1.822,0.513,8.056,0.667,1
10,0.03,3.178,0.532,2.936,0.539,9.166,0.671,1
10,0.04,4.512,0.556,4.21,0.562,10.44,0.675,1
10,0.05,5.962,0.577,5.584,0.583,11.8,0.680,1
10,0.06,7.616,0.595,7.182,0.600,13.396,0.683,1
10,0.07,9.54,0.611,9.024,0.615,15.232,0.686,1
10,0.08,11.694,0.624,11.086,0.628,17.294,0.688,1
10,0.09,13.942,0.636,13.23,0.640,19.432,0.692,1
10,0.1,16.398,0.647,15.606,0.651,21.806,0.695,1
10,0.01,0.79,0.465,0.76,0.470,7.42,0.682,0
10,0.02,1.98,0.493,1.85,0.499,8.51,0.680,0
10,0.03,3.09,0.530,2.86,0.537,9.52,0.687,0
10,0.04,4.44,0.556,4.11,0.563,10.76,0.690,0
10,0.05,5.7,0.582,5.31,0.586,11.96,0.696,0
10,0.06,7.28,0.599,6.83,0.603,13.48,0.697,0
10,0.07,9.27,0.612,8.72,0.615,15.37,0.696,0
10,0.08,11.17,0.628,10.55,0.630,17.2,0.700,0
10,0.09,13.36,0.641,12.66,0.643,19.31,0.703,0
10,0.1,15.63,0.653,14.84,0.656,21.49,0.707,0
