rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train
30,0.05,4.032,0.033,3.93,0.033,4.418,0.037,0
30,0.1,13.078,0.115,12.962,0.114,13.482,0.119,0
30,0.15,25.132,0.227,24.996,0.226,25.486,0.231,0
30,0.2,37.03,0.340,36.82,0.339,37.398,0.344,0
30,0.25,46.38,0.431,46.152,0.429,46.686,0.434,0
30,0.3,53.948,0.505,53.69,0.503,54.236,0.508,0
30,0.35,59.654,0.561,59.412,0.559,59.952,0.564,0
30,0.4,63.938,0.603,63.628,0.600,64.172,0.605,0
30,0.45,67.532,0.640,67.252,0.637,67.74,0.642,0
30,0.5,70.116,0.665,69.758,0.662,70.308,0.667,0
30,0.55,89.71,0.880,89.33,0.877,89.7,0.880,0
30,0.6,89.71,0.872,89.25,0.868,89.74,0.872,0
30,0.65,89.54,0.863,89.06,0.858,89.58,0.863,0
30,0.7,90.39,0.865,89.97,0.861,90.43,0.865,0
30,0.75,90.41,0.862,89.97,0.858,90.46,0.863,0
30,0.8,89.76,0.858,89.22,0.853,89.78,0.858,0
30,0.85,89.86,0.857,89.33,0.852,89.86,0.857,0
30,0.9,90.04,0.861,89.51,0.856,90.06,0.861,0
30,0.95,90.45,0.867,89.85,0.861,90.47,0.867,0
30,1.0,90.21,0.862,89.77,0.858,90.28,0.863,0
