rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
50,0.05,2.586,0.022,2.544,0.021,2.686,0.023,0
50,0.1,11.762,0.105,11.724,0.105,11.866,0.106,0
50,0.15,24.352,0.224,24.298,0.223,24.482,0.225,0
50,0.2,37.184,0.347,37.114,0.346,37.284,0.348,0
50,0.25,48.286,0.454,48.216,0.453,48.37,0.455,0
50,0.3,57.096,0.541,57.016,0.540,57.172,0.541,0
50,0.35,64.068,0.608,63.974,0.607,64.15,0.609,0
50,0.4,69.234,0.660,69.12,0.659,69.328,0.661,0
50,0.45,72.844,0.697,72.74,0.696,72.924,0.697,0
50,0.5,75.478,0.724,75.34,0.723,75.552,0.725,0
50,0.55,89.55,0.884,89.36,0.882,89.56,0.884,0
50,0.6,89.7,0.876,89.48,0.874,89.66,0.875,0
50,0.65,89.39,0.866,89.21,0.864,89.4,0.866,0
50,0.7,90.4,0.870,90.23,0.869,90.4,0.870,0
50,0.75,90.41,0.869,90.22,0.867,90.39,0.868,0
50,0.8,90.02,0.865,89.88,0.864,90.0,0.865,0
50,0.85,89.99,0.865,89.83,0.863,89.99,0.865,0
50,0.9,89.76,0.861,89.59,0.859,89.74,0.860,0
50,0.95,90.52,0.873,90.36,0.871,90.52,0.873,0
50,1.0,90.77,0.877,90.54,0.875,90.71,0.876,0
