rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
no_rd,0.05,7.03,0.062,7.01,0.062,8.03,0.072,0
no_rd,0.1,23.37,0.216,23.35,0.215,24.37,0.226,0
no_rd,0.15,43.73,0.413,43.71,0.413,44.73,0.423,0
no_rd,0.2,60.41,0.579,60.38,0.579,61.4,0.589,0
no_rd,0.25,71.08,0.688,71.02,0.687,72.04,0.697,0
no_rd,0.3,78.31,0.759,78.22,0.758,79.24,0.768,0
no_rd,0.35,83.1,0.807,82.97,0.806,83.99,0.816,0
no_rd,0.4,86.14,0.837,85.96,0.835,86.98,0.845,0
no_rd,0.45,88.1,0.858,87.91,0.856,88.93,0.866,0
no_rd,0.5,89.56,0.871,89.36,0.869,90.38,0.879,0
