rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
50,0.05,2.604,0.021,2.604,0.021,2.794,0.023,1
50,0.1,10.194,0.089,10.194,0.089,10.392,0.091,1
50,0.15,20.854,0.187,20.848,0.187,21.04,0.188,1
50,0.2,32.504,0.294,32.502,0.294,32.69,0.296,1
50,0.25,42.746,0.391,42.738,0.391,42.924,0.392,1
50,0.3,50.962,0.467,50.954,0.467,51.124,0.469,1
50,0.35,57.698,0.532,57.682,0.531,57.91,0.534,1
50,0.4,62.834,0.581,62.816,0.580,62.988,0.582,1
50,0.45,66.764,0.617,66.74,0.617,66.97,0.619,1
50,0.5,70.146,0.649,70.124,0.649,70.304,0.651,1
50,0.05,4.52,0.038,4.47,0.037,8.0,0.072,0
50,0.1,10.77,0.097,10.68,0.096,14.09,0.130,0
50,0.15,19.99,0.182,19.87,0.181,23.24,0.214,0
50,0.2,29.61,0.270,29.47,0.269,32.92,0.303,0
50,0.25,40.05,0.365,39.81,0.363,43.27,0.397,0
50,0.3,48.19,0.442,47.91,0.440,50.9,0.469,0
50,0.35,54.03,0.499,53.7,0.496,57.25,0.531,0
50,0.4,58.59,0.541,58.33,0.538,61.66,0.571,0
50,0.45,62.49,0.580,62.17,0.578,65.45,0.610,0
50,0.5,65.12,0.604,64.84,0.602,68.26,0.636,0
