rd,Dev.,Correct,Conf.,Adv.,Conf.,Either,Conf.,Train 
40,0.01,1.1,0.740,1.1,0.740,2.4,0.863,0
40,0.02,2.1,0.804,2.1,0.804,3.4,0.874,0
40,0.03,3.7,0.813,3.7,0.813,5.0,0.860,0
40,0.04,5.6,0.855,5.6,0.855,6.9,0.882,0
40,0.05,9.0,0.858,9.0,0.858,10.3,0.875,0
40,0.06,13.1,0.863,13.1,0.863,14.4,0.876,0
40,0.07,17.0,0.892,17.0,0.892,18.3,0.899,0
40,0.08,22.6,0.898,22.6,0.898,23.9,0.904,0
40,0.09,28.4,0.905,28.4,0.905,29.7,0.909,0
40,0.1,33.9,0.913,33.9,0.913,35.2,0.917,0
rd,Dev.,Correct,Conf.,Adv.,Conf.,Either,Conf.,Train 
40,0.05,9.0,0.858,9.0,0.858,10.3,0.875,0
40,0.1,33.9,0.913,33.9,0.913,35.2,0.917,0
40,0.15,63.6,0.934,63.6,0.934,64.9,0.936,0
40,0.2,84.0,0.946,84.0,0.946,85.3,0.947,0
40,0.25,91.0,0.951,91.0,0.951,92.3,0.951,0
40,0.3,94.3,0.948,94.2,0.948,95.5,0.948,0
40,0.35,95.8,0.946,95.5,0.945,96.8,0.946,0
40,0.4,96.9,0.941,96.6,0.941,97.9,0.941,0
40,0.45,97.0,0.944,96.7,0.944,98.0,0.945,0
40,0.5,97.3,0.941,97.0,0.941,98.3,0.942,0
