rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train
no_dr,0.05,71.36,0.614,71.308,0.614,71.718,0.617,1
no_dr,0.1,96.682,0.881,96.628,0.881,97.058,0.885,1
no_dr,0.15,99.262,0.915,99.18,0.914,99.624,0.918,1
no_dr,0.2,99.644,0.921,99.542,0.920,99.934,0.924,1
no_dr,0.25,99.72,0.919,99.584,0.918,99.986,0.922,1
no_dr,0.3,99.714,0.920,99.596,0.919,99.998,0.923,1
no_dr,0.35,99.72,0.921,99.59,0.920,100.0,0.924,1
no_dr,0.4,99.764,0.923,99.656,0.922,100.0,0.925,1
no_dr,0.45,99.73,0.921,99.57,0.920,100.0,0.924,1
no_dr,0.5,99.742,0.921,99.566,0.920,100.0,0.924,1
no_rd,0.05,67.91,0.583,67.81,0.582,69.94,0.603,0
no_rd,0.1,95.26,0.869,95.01,0.867,97.14,0.887,0
no_rd,0.15,97.58,0.900,97.17,0.896,99.47,0.918,0
no_rd,0.2,98.06,0.906,97.52,0.901,99.9,0.924,0
no_rd,0.25,98.18,0.905,97.59,0.900,99.99,0.923,0
no_rd,0.3,98.22,0.908,97.54,0.902,100.0,0.925,0
no_rd,0.35,98.28,0.911,97.71,0.906,100.0,0.928,0
no_rd,0.4,98.4,0.910,97.63,0.903,100.0,0.925,0
no_rd,0.45,98.42,0.911,97.76,0.905,100.0,0.926,0
no_rd,0.5,98.63,0.911,97.87,0.905,100.0,0.924,0
rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train
no_dr,0.01,4.084,0.026,4.07,0.026,4.512,0.030,1
no_dr,0.02,14.746,0.109,14.73,0.109,15.172,0.113,1
no_dr,0.03,32.916,0.258,32.89,0.258,33.332,0.262,1
no_dr,0.04,53.884,0.444,53.852,0.443,54.294,0.447,1
no_dr,0.05,69.596,0.596,69.56,0.596,70.002,0.600,1
no_dr,0.06,80.428,0.705,80.388,0.705,80.83,0.709,1
no_dr,0.07,87.614,0.781,87.57,0.780,88.012,0.785,1
no_dr,0.08,92.236,0.831,92.188,0.831,92.63,0.835,1
no_dr,0.09,95.102,0.864,95.048,0.863,95.49,0.867,1
no_dr,0.1,96.858,0.884,96.8,0.884,97.242,0.888,1
no_dr,0.01,3.83,0.026,3.8,0.026,6.09,0.046,0
no_dr,0.02,12.87,0.096,12.82,0.096,15.11,0.118,0
no_dr,0.03,30.77,0.241,30.69,0.240,32.98,0.262,0
no_dr,0.04,51.51,0.422,51.43,0.421,53.72,0.443,0
no_dr,0.05,67.43,0.576,67.34,0.575,69.63,0.597,0
no_dr,0.06,78.03,0.684,77.93,0.684,80.22,0.706,0
no_dr,0.07,85.23,0.760,85.12,0.759,87.41,0.781,0
no_dr,0.08,89.89,0.811,89.78,0.810,92.07,0.832,0
no_dr,0.09,92.89,0.844,92.77,0.843,95.06,0.865,0
no_dr,0.1,95.1,0.867,94.94,0.866,97.23,0.888,0
rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train
no_dr,3.0,97.686,0.895,97.624,0.894,98.066,0.898,1
no_dr,3.0,95.81,0.878,95.63,0.876,97.92,0.898,0
rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
no_dr,3.0,100.0,0.979,100.0,0.979,100.0,0.979,1
rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
no_dr,3.0,100.0,0.979,100.0,0.979,100.0,0.979,1
no_dr,3.0,100.0,0.934,100.0,0.934,100.0,0.934,0
