rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
10,0.05,2.894,0.015,2.746,0.014,8.996,0.061,1
10,0.1,6.652,0.039,6.47,0.038,12.766,0.089,1
10,0.15,11.44,0.072,11.18,0.071,17.372,0.122,1
10,0.2,17.052,0.113,16.658,0.111,22.996,0.165,1
10,0.25,23.612,0.163,23.206,0.161,29.424,0.215,1
10,0.3,30.516,0.217,30.042,0.214,36.336,0.269,1
10,0.35,37.52,0.273,37.016,0.269,43.292,0.325,1
10,0.4,44.778,0.330,44.156,0.326,50.584,0.384,1
10,0.45,51.766,0.386,51.044,0.381,57.348,0.437,1
10,0.5,58.64,0.440,57.916,0.435,64.1,0.490,1
10,0.05,2.95,0.015,2.81,0.015,9.54,0.065,0
10,0.1,6.52,0.038,6.31,0.037,12.81,0.090,0
10,0.15,11.62,0.073,11.3,0.072,18.36,0.132,0
10,0.2,16.85,0.114,16.41,0.111,23.28,0.171,0
10,0.25,22.86,0.160,22.42,0.158,28.74,0.214,0
10,0.3,29.89,0.214,29.37,0.211,35.85,0.269,0
10,0.35,36.47,0.268,35.73,0.264,42.25,0.322,0
10,0.4,44.53,0.330,43.75,0.325,50.63,0.387,0
10,0.45,51.09,0.382,50.41,0.377,56.72,0.435,0
10,0.5,56.68,0.428,55.81,0.422,62.48,0.483,0
rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
10,0.05,2.888,0.521,2.756,0.526,9.006,0.676,1
10,0.1,6.756,0.581,6.55,0.585,12.8,0.690,1
10,0.15,11.53,0.630,11.276,0.632,17.526,0.705,1
10,0.2,17.188,0.665,16.856,0.667,23.106,0.719,1
10,0.25,23.586,0.691,23.178,0.693,29.428,0.732,1
10,0.3,30.512,0.711,30.036,0.712,36.286,0.742,1
10,0.35,37.538,0.726,37.01,0.728,43.26,0.751,1
10,0.4,44.72,0.738,44.12,0.739,50.37,0.757,1
10,0.45,51.65,0.746,50.992,0.747,57.242,0.762,1
10,0.5,58.272,0.751,57.538,0.752,63.788,0.765,1
10,0.05,2.86,0.518,2.76,0.522,9.42,0.688,0
10,0.1,6.39,0.585,6.15,0.590,12.81,0.706,0
10,0.15,11.25,0.629,10.91,0.633,17.57,0.715,0
10,0.2,16.44,0.670,16.05,0.673,22.71,0.731,0
10,0.25,22.73,0.698,22.27,0.700,28.93,0.743,0
10,0.3,29.27,0.719,28.75,0.721,35.41,0.753,0
10,0.35,36.33,0.732,35.71,0.734,42.37,0.760,0
10,0.4,43.72,0.741,43.07,0.742,49.73,0.763,0
10,0.45,50.64,0.748,49.92,0.749,56.58,0.768,0
10,0.5,56.95,0.754,56.18,0.755,62.84,0.771,0
