rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train
100,0.05,7.766,0.052,7.728,0.052,8.928,0.062,1
100,0.1,29.186,0.221,29.11,0.220,30.282,0.231,1
100,0.15,56.788,0.458,56.71,0.458,57.914,0.469,1
100,0.2,77.116,0.649,77.018,0.649,78.182,0.659,1
100,0.25,87.732,0.760,87.62,0.759,88.77,0.770,1
100,0.3,93.07,0.819,92.91,0.818,94.096,0.829,1
100,0.35,96.042,0.852,95.912,0.851,97.096,0.862,1
100,0.4,97.612,0.872,97.43,0.870,98.484,0.880,1
100,0.45,98.338,0.880,98.134,0.879,99.306,0.890,1
100,0.5,98.646,0.884,98.476,0.883,99.566,0.893,1
100,0.05,7.14,0.048,6.97,0.047,9.79,0.072,0
100,0.1,27.03,0.203,26.91,0.202,29.21,0.224,0
100,0.15,55.26,0.444,55.06,0.442,57.45,0.465,0
100,0.2,75.42,0.638,75.19,0.636,77.57,0.659,0
100,0.25,86.02,0.745,85.84,0.744,88.05,0.765,0
100,0.3,91.54,0.809,91.38,0.808,94.02,0.833,0
100,0.35,93.96,0.836,93.6,0.833,96.52,0.861,0
100,0.4,96.47,0.862,96.09,0.859,98.67,0.884,0
100,0.45,96.67,0.868,96.27,0.864,99.09,0.891,0
100,0.5,96.98,0.872,96.56,0.868,99.4,0.896,0
rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train
100,0.05,7.826,0.671,7.778,0.672,8.906,0.697,1
100,0.1,29.176,0.755,29.102,0.756,30.23,0.762,1
100,0.15,56.988,0.807,56.896,0.807,58.024,0.810,1
100,0.2,76.868,0.843,76.766,0.843,77.894,0.844,1
100,0.25,87.786,0.866,87.672,0.866,88.8,0.867,1
100,0.3,93.256,0.880,93.12,0.880,94.248,0.881,1
100,0.35,96.088,0.888,95.934,0.888,97.062,0.889,1
100,0.4,97.466,0.893,97.3,0.893,98.428,0.894,1
100,0.45,98.278,0.895,98.106,0.896,99.234,0.896,1
100,0.5,98.616,0.897,98.44,0.897,99.568,0.897,1
100,0.05,7.15,0.676,7.05,0.678,9.63,0.736,0
100,0.1,27.29,0.755,27.15,0.755,29.73,0.771,0
100,0.15,55.38,0.806,55.16,0.806,57.74,0.812,0
100,0.2,74.83,0.845,74.6,0.845,77.18,0.849,0
100,0.25,85.68,0.869,85.43,0.869,88.01,0.871,0
100,0.3,91.56,0.882,91.31,0.882,93.89,0.884,0
100,0.35,94.38,0.891,94.08,0.892,96.66,0.893,0
100,0.4,96.11,0.895,95.79,0.895,98.37,0.897,0
100,0.45,96.81,0.898,96.48,0.899,99.06,0.900,0
100,0.5,97.22,0.899,96.87,0.900,99.45,0.901,0
