rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
no_dr,0.01,1.714,0.009,1.596,0.008,5.874,0.040,1
no_dr,0.02,4.212,0.024,3.968,0.023,8.242,0.056,1
no_dr,0.03,7.228,0.045,6.936,0.043,11.214,0.078,1
no_dr,0.04,11.22,0.074,10.826,0.071,15.102,0.107,1
no_dr,0.05,16.138,0.110,15.624,0.107,19.9,0.143,1
no_dr,0.06,21.818,0.154,21.22,0.150,25.494,0.186,1
no_dr,0.07,28.132,0.202,27.464,0.198,31.744,0.234,1
no_dr,0.08,34.942,0.255,34.202,0.250,38.482,0.287,1
no_dr,0.09,41.852,0.311,41.052,0.305,45.33,0.342,1
no_dr,0.1,48.112,0.362,47.266,0.355,51.544,0.393,1
no_dr,0.01,1.87,0.010,1.73,0.009,6.25,0.043,0
no_dr,0.02,4.34,0.025,4.11,0.024,8.63,0.060,0
no_dr,0.03,7.48,0.047,7.12,0.045,11.65,0.082,0
no_dr,0.04,11.18,0.075,10.66,0.072,15.19,0.109,0
no_dr,0.05,15.62,0.107,15.08,0.104,19.6,0.142,0
no_dr,0.06,21.32,0.151,20.63,0.147,25.16,0.186,0
no_dr,0.07,27.47,0.199,26.67,0.194,31.18,0.233,0
no_dr,0.08,34.6,0.254,33.76,0.249,38.29,0.288,0
no_dr,0.09,40.76,0.303,39.93,0.297,44.46,0.337,0
no_dr,0.1,46.99,0.356,46.1,0.350,50.63,0.389,0
