rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
no_dr,0.01,6.434,0.048,6.434,0.048,6.434,0.048,1
no_dr,0.02,26.958,0.241,26.958,0.241,26.958,0.241,1
no_dr,0.03,45.51,0.429,45.51,0.429,45.51,0.429,1
no_dr,0.04,56.838,0.547,56.838,0.547,56.838,0.547,1
no_dr,0.05,66.452,0.641,66.452,0.641,66.452,0.641,1
no_dr,0.06,75.634,0.732,75.634,0.732,75.634,0.732,1
no_dr,0.07,82.676,0.805,82.676,0.805,82.676,0.805,1
no_dr,0.08,87.852,0.860,87.852,0.860,87.852,0.860,1
no_dr,0.09,91.538,0.899,91.538,0.899,91.538,0.899,1
no_dr,0.1,94.136,0.928,94.136,0.928,94.136,0.928,1
no_dr,0.01,6.52,0.055,6.47,0.054,8.78,0.077,0
no_dr,0.02,23.96,0.215,23.91,0.214,26.22,0.237,0
no_dr,0.03,42.24,0.397,42.18,0.397,44.49,0.420,0
no_dr,0.04,54.01,0.519,53.94,0.518,56.25,0.541,0
no_dr,0.05,63.25,0.611,63.18,0.610,65.49,0.633,0
no_dr,0.06,71.73,0.696,71.64,0.696,73.95,0.719,0
no_dr,0.07,79.02,0.770,78.93,0.770,81.24,0.793,0
no_dr,0.08,84.48,0.827,84.39,0.826,86.7,0.849,0
no_dr,0.09,88.46,0.869,88.37,0.868,90.68,0.891,0
no_dr,0.1,91.12,0.898,91.02,0.897,93.33,0.920,0
