rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train
no_dr,0.05,71.36,0.614,71.308,0.614,71.718,0.617,1
no_dr,0.1,96.682,0.881,96.628,0.881,97.058,0.885,1
no_dr,0.15,99.262,0.915,99.18,0.914,99.624,0.918,1
no_dr,0.2,99.644,0.921,99.542,0.920,99.934,0.924,1
no_dr,0.25,99.72,0.919,99.584,0.918,99.986,0.922,1
no_dr,0.3,99.714,0.920,99.596,0.919,99.998,0.923,1
no_dr,0.35,99.72,0.921,99.59,0.920,100.0,0.924,1
no_dr,0.4,99.764,0.923,99.656,0.922,100.0,0.925,1
no_dr,0.45,99.73,0.921,99.57,0.920,100.0,0.924,1
no_dr,0.5,99.742,0.921,99.566,0.920,100.0,0.924,1
no_rd,0.05,67.91,0.583,67.81,0.582,69.94,0.603,0
no_rd,0.1,95.26,0.869,95.01,0.867,97.14,0.887,0
no_rd,0.15,97.58,0.900,97.17,0.896,99.47,0.918,0
no_rd,0.2,98.06,0.906,97.52,0.901,99.9,0.924,0
no_rd,0.25,98.18,0.905,97.59,0.900,99.99,0.923,0
no_rd,0.3,98.22,0.908,97.54,0.902,100.0,0.925,0
no_rd,0.35,98.28,0.911,97.71,0.906,100.0,0.928,0
no_rd,0.4,98.4,0.910,97.63,0.903,100.0,0.925,0
no_rd,0.45,98.42,0.911,97.76,0.905,100.0,0.926,0
no_rd,0.5,98.63,0.911,97.87,0.905,100.0,0.924,0
rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train
no_dr,0.01,4.084,0.026,4.07,0.026,4.512,0.030,1
no_dr,0.02,14.746,0.109,14.73,0.109,15.172,0.113,1
no_dr,0.03,32.916,0.258,32.89,0.258,33.332,0.262,1
no_dr,0.04,53.884,0.444,53.852,0.443,54.294,0.447,1
no_dr,0.05,69.596,0.596,69.56,0.596,70.002,0.600,1
no_dr,0.06,80.428,0.705,80.388,0.705,80.83,0.709,1
no_dr,0.07,87.614,0.781,87.57,0.780,88.012,0.785,1
no_dr,0.08,92.236,0.831,92.188,0.831,92.63,0.835,1
no_dr,0.09,95.102,0.864,95.048,0.863,95.49,0.867,1
no_dr,0.1,96.858,0.884,96.8,0.884,97.242,0.888,1
no_dr,0.01,3.83,0.026,3.8,0.026,6.09,0.046,0
no_dr,0.02,12.87,0.096,12.82,0.096,15.11,0.118,0
no_dr,0.03,30.77,0.241,30.69,0.240,32.98,0.262,0
no_dr,0.04,51.51,0.422,51.43,0.421,53.72,0.443,0
no_dr,0.05,67.43,0.576,67.34,0.575,69.63,0.597,0
no_dr,0.06,78.03,0.684,77.93,0.684,80.22,0.706,0
no_dr,0.07,85.23,0.760,85.12,0.759,87.41,0.781,0
no_dr,0.08,89.89,0.811,89.78,0.810,92.07,0.832,0
no_dr,0.09,92.89,0.844,92.77,0.843,95.06,0.865,0
no_dr,0.1,95.1,0.867,94.94,0.866,97.23,0.888,0
rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train
no_dr,0.01,4.51199948788,0.662,0.963,1
no_dr,0.02,15.1719999313,0.742,0.929,1
no_dr,0.03,33.3320003748,0.787,0.885,1
no_dr,0.04,54.2939996719,0.824,0.860,1
no_dr,0.05,70.0019997358,0.857,0.842,1
no_dr,0.06,80.8300000429,0.877,0.821,1
no_dr,0.07,88.0119999498,0.891,0.800,1
no_dr,0.08,92.6299999654,0.901,0.783,1
no_dr,0.09,95.4899999499,0.908,0.769,1
no_dr,0.1,97.2420000099,0.913,0.759,1
no_dr,0.01,6.09000086784,0.759,0.967,0
no_dr,0.02,15.1099985838,0.778,0.931,0
no_dr,0.03,32.9799991846,0.794,0.890,0
no_dr,0.04,53.7199997902,0.825,0.862,0
no_dr,0.05,69.6300001442,0.857,0.846,0
no_dr,0.06,80.2199999243,0.880,0.826,0
no_dr,0.07,87.4099999294,0.894,0.803,0
no_dr,0.08,92.0699999481,0.903,0.783,0
no_dr,0.09,95.0600000285,0.910,0.758,0
no_dr,0.1,97.2299999837,0.913,0.775,0
rd,Dev.,Wrong,C.,n_C.,Adv.,C.,n_C.,Pure,C.,n_C.,Train
no_dr,0.01,4.512,0.662,0.963,4.084,0.641,0.962,4.07,0.642,0.963,1
no_dr,0.02,15.172,0.742,0.929,14.746,0.737,0.929,14.73,0.737,0.929,1
no_dr,0.03,33.332,0.787,0.885,32.916,0.785,0.886,32.89,0.785,0.885,1
no_dr,0.04,54.294,0.824,0.860,53.884,0.823,0.861,53.852,0.823,0.860,1
no_dr,0.05,70.002,0.857,0.842,69.596,0.856,0.843,69.56,0.856,0.842,1
no_dr,0.06,80.830,0.877,0.821,80.428,0.877,0.824,80.388,0.877,0.821,1
no_dr,0.07,88.012,0.891,0.800,87.614,0.891,0.805,87.57,0.891,0.800,1
no_dr,0.08,92.630,0.901,0.783,92.236,0.901,0.792,92.188,0.901,0.783,1
no_dr,0.09,95.490,0.908,0.769,95.102,0.908,0.784,95.048,0.908,0.769,1
no_dr,0.1,97.242,0.913,0.759,96.858,0.913,0.783,96.8,0.913,0.759,1
no_dr,0.01,6.090,0.759,0.967,3.83,0.675,0.966,3.8,0.675,0.967,1
no_dr,0.02,15.110,0.778,0.931,12.87,0.748,0.932,12.82,0.749,0.931,1
no_dr,0.03,32.980,0.794,0.890,30.77,0.782,0.892,30.69,0.782,0.890,1
no_dr,0.04,53.720,0.825,0.862,51.51,0.819,0.867,51.43,0.819,0.862,1
no_dr,0.05,69.630,0.857,0.846,67.43,0.854,0.855,67.34,0.854,0.846,1
no_dr,0.06,80.220,0.880,0.826,78.03,0.877,0.840,77.93,0.877,0.826,1
no_dr,0.07,87.410,0.894,0.803,85.23,0.892,0.828,85.12,0.892,0.803,1
no_dr,0.08,92.070,0.903,0.783,89.89,0.902,0.823,89.78,0.902,0.783,1
no_dr,0.09,95.060,0.910,0.758,92.89,0.908,0.822,92.77,0.908,0.758,1
no_dr,0.1,97.230,0.913,0.775,95.1,0.912,0.860,94.94,0.912,0.775,1
rd,Dev.,Wrong,C.,n_C.,Adv.,C.,n_C.,Pure,C.,n_C.,Train
no_dr,0.01,4.512,0.662,0.963,4.084,0.641,0.962,4.07,0.642,0.963,1
no_dr,0.02,15.172,0.742,0.929,14.746,0.737,0.929,14.73,0.737,0.929,1
no_dr,0.03,33.332,0.787,0.885,32.916,0.785,0.886,32.89,0.785,0.885,1
no_dr,0.04,54.292,0.824,0.860,53.882,0.823,0.861,53.85,0.823,0.860,1
no_dr,0.05,70.004,0.857,0.842,69.598,0.856,0.843,69.562,0.856,0.842,1
no_dr,0.06,80.824,0.877,0.821,80.422,0.877,0.824,80.382,0.877,0.821,1
no_dr,0.07,88.016,0.891,0.800,87.618,0.891,0.805,87.574,0.891,0.800,1
no_dr,0.08,92.632,0.901,0.783,92.238,0.901,0.792,92.19,0.901,0.783,1
no_dr,0.09,95.502,0.908,0.769,95.114,0.908,0.784,95.06,0.908,0.769,1
no_dr,0.1,97.244,0.913,0.756,96.86,0.913,0.780,96.802,0.913,0.756,1
no_dr,0.01,6.090,0.759,0.967,3.83,0.675,0.966,3.8,0.675,0.967,1
no_dr,0.02,15.110,0.778,0.931,12.87,0.748,0.932,12.82,0.749,0.931,1
no_dr,0.03,32.980,0.794,0.890,30.77,0.782,0.892,30.69,0.782,0.890,1
no_dr,0.04,53.720,0.825,0.862,51.51,0.819,0.867,51.43,0.819,0.862,1
no_dr,0.05,69.630,0.857,0.846,67.43,0.854,0.855,67.34,0.854,0.846,1
no_dr,0.06,80.200,0.880,0.825,78.01,0.877,0.840,77.91,0.877,0.825,1
no_dr,0.07,87.420,0.894,0.803,85.24,0.892,0.828,85.13,0.892,0.803,1
no_dr,0.08,92.080,0.903,0.783,89.9,0.902,0.823,89.79,0.902,0.783,1
no_dr,0.09,95.080,0.910,0.759,92.91,0.908,0.822,92.79,0.908,0.759,1
no_dr,0.1,97.230,0.913,0.773,95.1,0.912,0.859,94.94,0.912,0.773,1
rd,Dev.,Wrong,C.,n_C.,Adv.,C.,n_C.,Pure,C.,n_C.,Train
no_dr,0.01,4.512,0.662,0.963,4.084,0.641,0.962,4.07,0.642,0.963,1
no_dr,0.02,15.172,0.742,0.929,14.746,0.737,0.929,14.73,0.737,0.929,1
