rd,Dev.,Correct,Conf.,Adv.,Conf.,Either,Conf.,Train
30,0.01,1.308,0.531,1.244,0.536,4.744,0.709,1
30,0.02,2.984,0.595,2.878,0.599,6.378,0.721,1
30,0.03,5.072,0.643,4.928,0.646,8.428,0.732,1
30,0.04,7.754,0.675,7.56,0.677,11.06,0.739,1
30,0.05,10.866,0.704,10.62,0.706,14.12,0.750,1
30,0.06,14.722,0.723,14.446,0.725,17.946,0.758,1
30,0.07,19.052,0.742,18.738,0.743,22.238,0.767,1
30,0.08,24.074,0.754,23.722,0.756,27.222,0.774,1
30,0.09,29.65,0.766,29.258,0.767,32.758,0.782,1
30,0.1,35.462,0.778,35.044,0.779,38.544,0.791,1
30,0.01,1.35,0.540,1.34,0.540,4.91,0.726,0
30,0.02,2.99,0.607,2.95,0.608,6.52,0.738,0
30,0.03,5.05,0.653,4.93,0.655,8.5,0.748,0
30,0.04,7.31,0.690,7.16,0.692,10.73,0.761,0
30,0.05,10.24,0.714,10.06,0.716,13.63,0.767,0
30,0.06,13.91,0.732,13.72,0.733,17.29,0.772,0
30,0.07,18.26,0.744,18.06,0.745,21.63,0.775,0
30,0.08,23.04,0.759,22.82,0.759,26.39,0.782,0
30,0.09,28.42,0.771,28.17,0.772,31.74,0.790,0
30,0.1,33.77,0.785,33.51,0.785,37.08,0.799,0
