rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train
30,0.01,4.384,0.031,4.322,0.030,4.744,0.034,1
30,0.02,5.998,0.043,5.946,0.042,6.378,0.046,1
30,0.03,8.042,0.058,7.994,0.058,8.428,0.062,1
30,0.04,10.664,0.078,10.622,0.078,11.06,0.082,1
30,0.05,13.714,0.102,13.68,0.102,14.12,0.106,1
30,0.06,17.536,0.132,17.504,0.132,17.946,0.136,1
30,0.07,21.828,0.167,21.796,0.167,22.238,0.171,1
30,0.08,26.814,0.207,26.782,0.207,27.224,0.211,1
30,0.09,32.346,0.252,32.314,0.252,32.756,0.256,1
30,0.1,38.134,0.301,38.102,0.301,38.544,0.305,1
30,0.01,3.69,0.025,3.01,0.020,4.91,0.036,0
30,0.02,5.12,0.035,4.52,0.032,6.52,0.048,0
30,0.03,6.81,0.048,6.39,0.046,8.5,0.064,0
30,0.04,8.79,0.064,8.49,0.062,10.73,0.082,0
30,0.05,11.66,0.087,11.38,0.085,13.63,0.105,0
30,0.06,15.23,0.114,15.0,0.113,17.28,0.133,0
30,0.07,19.56,0.148,19.34,0.147,21.63,0.168,0
30,0.08,24.3,0.187,24.1,0.185,26.39,0.206,0
30,0.09,29.65,0.231,29.45,0.229,31.74,0.251,0
30,0.1,34.98,0.276,34.79,0.275,37.08,0.296,0
rd,Dev.,Correct,Conf.,Adv.,Conf.,Either,Conf.,Train 
30,0.1,21.514,0.918,21.366,0.918,21.774,0.917,1
30,0.2,22.818,0.902,22.68,0.902,23.1,0.901,1
30,0.3,24.518,0.884,24.384,0.884,24.804,0.884,1
30,0.4,26.638,0.867,26.51,0.867,26.934,0.867,1
30,0.5,29.092,0.852,28.97,0.852,29.396,0.853,1
30,0.6,32.132,0.838,32.012,0.838,32.44,0.839,1
30,0.7,35.624,0.827,35.504,0.827,35.93,0.828,1
30,0.8,39.636,0.818,39.514,0.818,39.936,0.819,1
30,0.9,44.044,0.813,43.922,0.813,44.346,0.814,1
30,1.0,48.698,0.812,48.576,0.812,48.996,0.813,1
30,0.1,19.066,0.938,18.38,0.938,21.774,0.917,1
30,0.2,20.43,0.911,19.706,0.911,23.1,0.901,1
30,0.3,22.156,0.887,21.412,0.887,24.804,0.884,1
30,0.4,24.326,0.865,23.542,0.865,26.934,0.867,1
30,0.5,26.822,0.848,26.0,0.848,29.396,0.853,1
30,0.6,29.884,0.832,29.044,0.832,32.44,0.839,1
30,0.7,33.4,0.821,32.536,0.821,35.93,0.828,1
30,0.8,37.454,0.812,36.552,0.812,39.936,0.819,1
30,0.9,41.89,0.807,40.958,0.807,44.346,0.814,1
30,1.0,46.56,0.806,45.608,0.806,48.996,0.813,1
rd,Dev.,Correct,Conf.,Adv.,Conf.,Either,Conf.,Train 
30,0.01,4.384,0.031,4.322,0.030,4.744,0.034,1
30,0.02,5.998,0.043,5.946,0.042,6.378,0.046,1
30,0.03,8.042,0.058,7.994,0.058,8.428,0.062,1
30,0.04,10.664,0.078,10.622,0.078,11.06,0.082,1
30,0.05,13.714,0.102,13.68,0.102,14.12,0.106,1
30,0.06,17.536,0.132,17.504,0.132,17.946,0.136,1
30,0.07,21.828,0.167,21.796,0.167,22.238,0.171,1
30,0.08,26.812,0.207,26.78,0.207,27.222,0.211,1
30,0.09,32.348,0.252,32.316,0.252,32.758,0.256,1
30,0.1,38.134,0.301,38.102,0.301,38.544,0.305,1
30,0.01,3.69,0.025,3.01,0.020,4.91,0.036,0
30,0.02,5.12,0.035,4.52,0.032,6.52,0.048,0
30,0.03,6.81,0.048,6.39,0.046,8.5,0.064,0
30,0.04,8.79,0.064,8.49,0.062,10.73,0.082,0
30,0.05,11.66,0.087,11.38,0.085,13.63,0.105,0
30,0.06,15.24,0.115,15.01,0.113,17.29,0.133,0
30,0.07,19.56,0.148,19.34,0.147,21.63,0.168,0
30,0.08,24.3,0.187,24.1,0.185,26.39,0.206,0
30,0.09,29.65,0.231,29.45,0.229,31.74,0.251,0
30,0.1,34.98,0.276,34.79,0.275,37.08,0.296,0
rd,Dev.,Correct,Conf.,Adv.,Conf.,Either,Conf.,Train 
30,0.01,1.308,0.531,1.244,0.536,4.744,0.709,1
30,0.02,2.984,0.595,2.878,0.599,6.378,0.721,1
30,0.03,5.072,0.643,4.928,0.646,8.428,0.732,1
30,0.04,7.754,0.675,7.56,0.677,11.06,0.739,1
30,0.05,10.866,0.704,10.62,0.706,14.12,0.750,1
30,0.06,14.722,0.723,14.446,0.725,17.946,0.758,1
30,0.07,19.052,0.742,18.738,0.743,22.238,0.767,1
30,0.08,24.074,0.754,23.722,0.756,27.222,0.774,1
30,0.09,29.65,0.766,29.258,0.767,32.758,0.782,1
30,0.1,35.462,0.778,35.044,0.779,38.544,0.791,1
30,0.01,1.35,0.540,1.34,0.540,4.91,0.726,0
30,0.02,2.99,0.607,2.95,0.608,6.52,0.738,0
30,0.03,5.05,0.653,4.93,0.655,8.5,0.748,0
30,0.04,7.31,0.690,7.16,0.692,10.73,0.761,0
30,0.05,10.24,0.714,10.06,0.716,13.63,0.767,0
30,0.06,13.91,0.732,13.72,0.733,17.29,0.772,0
30,0.07,18.26,0.744,18.06,0.745,21.63,0.775,0
30,0.08,23.04,0.759,22.82,0.759,26.39,0.782,0
30,0.09,28.42,0.771,28.17,0.772,31.74,0.790,0
30,0.1,33.77,0.785,33.51,0.785,37.08,0.799,0
30,0.1,19.066,0.938,18.38,0.938,21.774,0.917,1
30,0.2,20.43,0.911,19.706,0.911,23.1,0.901,1
30,0.3,22.156,0.887,21.412,0.887,24.804,0.884,1
30,0.4,24.326,0.865,23.542,0.865,26.934,0.867,1
30,0.5,26.822,0.848,26.0,0.848,29.396,0.853,1
30,0.6,29.884,0.832,29.044,0.832,32.44,0.839,1
30,0.7,33.4,0.821,32.536,0.821,35.93,0.828,1
30,0.8,37.454,0.812,36.552,0.812,39.936,0.819,1
30,0.9,41.89,0.807,40.958,0.807,44.346,0.814,1
30,1.0,46.56,0.806,45.608,0.806,48.996,0.813,1
