rd,Dev.,Correct,Conf.,Adv.,Conf.,Either,Conf.,Train 
40,0.01,1.268,0.549,1.232,0.553,3.9,0.705,1
40,0.02,3.11,0.611,3.02,0.615,5.688,0.717,1
40,0.03,5.372,0.661,5.262,0.663,7.93,0.732,1
40,0.04,8.37,0.696,8.234,0.698,10.902,0.744,1
40,0.05,12.146,0.722,11.992,0.723,14.66,0.755,1
40,0.06,16.798,0.740,16.616,0.741,19.284,0.764,1
40,0.07,21.998,0.758,21.778,0.759,24.446,0.775,1
40,0.08,28.184,0.770,27.93,0.771,30.598,0.783,1
40,0.09,35.06,0.781,34.788,0.781,37.456,0.791,1
40,0.1,41.952,0.793,41.66,0.794,44.328,0.801,1
40,0.01,1.21,0.538,1.15,0.543,4.25,0.737,0
40,0.02,3.01,0.610,2.92,0.612,6.02,0.740,0
40,0.03,5.02,0.674,4.89,0.675,7.99,0.759,0
40,0.04,7.77,0.708,7.63,0.708,10.73,0.767,0
40,0.05,10.83,0.736,10.64,0.737,13.74,0.779,0
40,0.06,15.24,0.747,15.03,0.747,18.13,0.779,0
40,0.07,20.91,0.755,20.67,0.755,23.77,0.778,0
40,0.08,26.99,0.769,26.74,0.769,29.84,0.786,0
40,0.09,33.12,0.785,32.86,0.785,35.96,0.798,0
40,0.1,40.34,0.794,40.04,0.794,43.14,0.805,0
