rd,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
30,0.05,1.582,0.007,1.5,0.007,6.596,0.039,1
30,0.1,4.046,0.020,3.822,0.019,9.11,0.054,1
30,0.15,6.632,0.035,6.278,0.033,11.386,0.069,1
30,0.2,10.2,0.056,9.76,0.054,14.878,0.091,1
30,0.25,14.292,0.082,13.772,0.080,19.142,0.120,1
30,0.3,19.162,0.113,18.58,0.110,23.558,0.148,1
30,0.35,24.62,0.151,23.904,0.147,29.056,0.186,1
30,0.4,30.568,0.191,29.832,0.187,34.962,0.227,1
30,0.45,36.752,0.235,35.89,0.230,40.744,0.269,1
30,0.5,43.128,0.280,42.208,0.274,47.334,0.315,1
30,0.05,1.65,0.008,1.6,0.007,6.3,0.037,0
30,0.1,3.76,0.018,3.59,0.018,8.64,0.051,0
30,0.15,6.67,0.036,6.41,0.035,11.19,0.069,0
30,0.2,10.27,0.057,9.83,0.055,14.83,0.092,0
30,0.25,14.38,0.085,13.95,0.083,18.72,0.119,0
30,0.3,18.99,0.114,18.53,0.112,23.1,0.148,0
30,0.35,24.85,0.154,23.98,0.149,29.06,0.188,0
30,0.4,29.81,0.190,29.22,0.187,34.21,0.228,0
30,0.45,37.41,0.243,36.51,0.238,41.06,0.275,0
30,0.5,43.12,0.281,42.11,0.275,46.99,0.315,0
