331 0.05 38.034 0.836291406444
331 0.1 85.042 0.867885195608
331 0.15 96.248 0.902224618464
331 0.2 98.67 0.914790354129
331 0.25 99.1 0.918983931647
331 0.3 99.292 0.919213825301
331 0.35 99.418 0.918212026169
331 0.4 99.434 0.917623230072
331 0.45 99.444 0.914773166399
331 0.5 99.484 0.913412466312
331 0.05 47.884 0.846027260169
331 0.1 81.086 0.882886250959
331 0.15 89.422 0.91192879587
331 0.2 91.33 0.921354955492
331 0.25 91.828 0.924709007193
331 0.3 92.096 0.925780580006
331 0.35 92.31 0.925112412843
331 0.4 92.41 0.92451782368
331 0.45 92.558 0.922620490606
331 0.5 92.886 0.921949656865
N_COMP,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train
331,0.05,39.522,0.313,39.482,0.312,40.388,0.321,1
331,0.1,85.814,0.755,85.728,0.754,86.608,0.762,1
331,0.15,96.16,0.874,96.044,0.874,96.966,0.882,1
331,0.2,98.424,0.905,98.324,0.904,99.258,0.913,1
331,0.25,98.978,0.914,98.848,0.913,99.748,0.921,1
331,0.3,99.112,0.916,98.994,0.915,99.928,0.924,1
331,0.35,99.214,0.917,99.05,0.915,99.982,0.924,1
331,0.4,99.26,0.916,99.04,0.914,99.996,0.923,1
331,0.45,99.246,0.915,99.038,0.913,100.0,0.922,1
331,0.5,99.22,0.913,99.002,0.911,100.0,0.920,1
331,0.05,36.92,0.292,36.68,0.291,39.64,0.318,0
331,0.1,83.77,0.737,83.61,0.736,86.32,0.762,0
331,0.15,93.97,0.856,93.74,0.854,96.68,0.882,0
331,0.2,96.83,0.891,96.5,0.888,99.33,0.915,0
331,0.25,97.12,0.900,96.67,0.897,99.57,0.924,0
331,0.3,97.75,0.904,97.35,0.900,99.89,0.924,0
331,0.35,97.75,0.903,97.2,0.899,99.95,0.925,0
331,0.4,97.96,0.904,97.44,0.900,100.0,0.924,0
331,0.45,97.57,0.900,97.08,0.896,100.0,0.923,0
331,0.5,97.91,0.903,97.29,0.898,100.0,0.923,0
N_COMP,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
331,0.05,40.19,0.318,40.098,0.318,40.798,0.324,1
331,0.1,85.284,0.754,85.188,0.753,85.908,0.760,1
331,0.15,96.238,0.875,96.128,0.874,96.87,0.881,1
331,0.2,98.51,0.905,98.346,0.904,99.112,0.911,1
331,0.25,99.188,0.915,99.038,0.914,99.742,0.921,1
331,0.3,99.364,0.918,99.16,0.916,99.888,0.923,1
331,0.35,99.48,0.918,99.272,0.917,99.962,0.923,1
331,0.4,99.456,0.917,99.224,0.915,99.98,0.922,1
331,0.45,99.518,0.917,99.306,0.916,99.99,0.922,1
331,0.5,99.518,0.917,99.282,0.915,100.0,0.921,1
331,0.05,36.91,0.290,36.77,0.289,39.49,0.315,0
331,0.1,83.53,0.736,83.31,0.734,85.95,0.759,0
331,0.15,94.26,0.859,94.01,0.857,96.65,0.882,0
331,0.2,96.73,0.893,96.42,0.890,98.98,0.915,0
331,0.25,97.26,0.900,96.91,0.897,99.72,0.924,0
331,0.3,97.47,0.904,97.01,0.900,99.93,0.929,0
331,0.35,97.58,0.904,97.05,0.900,99.98,0.927,0
331,0.4,97.62,0.901,96.95,0.895,100.0,0.924,0
331,0.45,97.7,0.902,97.19,0.898,100.0,0.925,0
331,0.5,98.0,0.905,97.25,0.899,100.0,0.925,0
