N_COMP,Dev.,Wrong,Conf.,Adv.,Conf.,Either,Conf.,Train 
40,0.05,3.182,0.019,3.134,0.019,4.756,0.032,1
40,0.1,9.762,0.066,9.71,0.066,11.248,0.079,1
40,0.15,20.138,0.146,20.036,0.145,21.594,0.159,1
40,0.2,34.408,0.260,34.318,0.260,35.976,0.275,1
40,0.25,49.712,0.388,49.598,0.387,51.184,0.402,1
40,0.3,63.07,0.505,62.96,0.505,64.458,0.519,1
40,0.35,73.114,0.597,72.968,0.596,74.54,0.610,1
40,0.4,80.388,0.667,80.226,0.666,81.784,0.680,1
40,0.45,85.302,0.715,85.134,0.714,86.764,0.729,1
40,0.5,89.444,0.756,89.304,0.755,90.884,0.770,1
40,0.05,2.99,0.018,2.94,0.018,5.86,0.043,0
40,0.1,8.19,0.056,8.08,0.055,10.53,0.077,0
40,0.15,18.12,0.129,17.98,0.128,20.66,0.153,0
40,0.2,31.94,0.239,31.82,0.238,34.59,0.264,0
40,0.25,46.9,0.367,46.72,0.365,49.4,0.390,0
40,0.3,61.09,0.492,60.8,0.489,63.57,0.515,0
40,0.35,70.98,0.582,70.72,0.580,73.54,0.607,0
40,0.4,78.75,0.652,78.5,0.651,81.32,0.677,0
40,0.45,84.14,0.712,83.88,0.710,86.68,0.736,0
40,0.5,87.61,0.748,87.27,0.745,89.84,0.769,0
