rd,Dev,Adv,Wrong,pure_adv,Train
40,0.1,11.406,3.434,1.278,
40,0.302040816327,12.854,10.046,4.61,
40,0.504081632653,16.048,16.448,8.918,
40,0.70612244898,20.836,23.292,14.376,
40,0.908163265306,27.99,31.758,21.932,
40,1.11020408163,37.764,42.282,31.868,
40,1.31224489796,46.828,51.784,40.996,
40,1.51428571429,54.508,59.676,48.68,
40,1.71632653061,61.292,66.564,55.418,
40,1.91836734694,67.618,72.916,61.674,
40,2.12040816327,72.832,78.122,66.796,
40,2.32244897959,77.52,82.742,71.376,
40,2.52448979592,81.348,86.502,75.118,
40,2.72653061224,84.212,89.258,77.848,
40,2.92857142857,86.358,91.32,79.892,
40,3.1306122449,88.196,93.02,81.584,
40,3.33265306122,89.762,94.456,83.014,
40,3.53469387755,91.05,95.606,84.154,
40,3.73673469388,92.108,96.518,85.066,
40,3.9387755102,92.93,97.228,85.776,
40,4.14081632653,93.674,97.824,86.372,
40,4.34285714286,94.306,98.328,86.874,
40,4.54489795918,94.788,98.7,87.246,
40,4.74693877551,95.212,99.046,87.592,
40,4.94897959184,95.56,99.292,87.836,
40,5.15102040816,95.844,99.464,88.008,
40,5.35306122449,96.104,99.634,88.178,
40,5.55510204082,96.278,99.72,88.264,
40,5.75714285714,96.458,99.828,88.372,
40,5.95918367347,96.586,99.886,88.43,
40,6.1612244898,96.724,99.932,88.476,
40,6.36326530612,96.818,99.954,88.498,
40,6.56530612245,96.934,99.982,88.526,
40,6.76734693878,97.004,99.992,88.536,
40,6.9693877551,97.082,99.994,88.538,
40,7.17142857143,97.138,99.998,88.542,
40,7.37346938776,97.182,99.998,88.542,
40,7.57551020408,97.22,99.998,88.542,
40,7.77755102041,97.258,100.0,88.544,
40,7.97959183673,97.32,100.0,88.544,
40,8.18163265306,97.354,100.0,88.544,
40,8.38367346939,97.4,100.0,88.544,
40,8.58571428571,97.448,100.0,88.544,
40,8.78775510204,97.506,100.0,88.544,
40,8.98979591837,97.536,100.0,88.544,
40,9.19183673469,97.584,100.0,88.544,
40,9.39387755102,97.612,100.0,88.544,
40,9.59591836735,97.656,100.0,88.544,
40,9.79795918367,97.68,100.0,88.544,
40,10.0,97.712,100.0,88.544,
rd,Dev,Wrong,Adv,pure_adv,Train 
40,0.1,11.494,3.822,1.6647090712,1
40,0.2,12.09,7.594,3.67726779906,1
40,0.3,13.212,11.134,5.90666787134,1
40,0.4,14.904,14.578,8.4884351283,1
40,0.5,16.834,17.926,11.1944344055,1
40,0.6,19.178,21.548,14.3273400795,1
40,0.7,21.818,25.114,17.6703108059,1
40,0.8,25.0,28.914,21.4650343332,1
40,0.9,28.512,32.896,25.535327069,1
40,1.0,32.408,37.168,30.0370437297,1
40,0.1,10.69,3.91,1.91878625614,0
40,0.2,11.41,7.06,3.73717090585,0
40,0.3,12.41,10.31,5.75635876841,0
40,0.4,13.98,13.45,8.14368585453,0
40,0.5,15.6,16.74,10.6648817492,0
40,0.6,17.56,19.91,13.3311021865,0
40,0.7,20.37,23.59,16.8005354752,0
40,0.8,23.66,27.41,20.6157965194,0
40,0.9,26.86,31.11,24.297188755,0
40,1.0,30.96,35.43,28.8933511825,0
