rd,Dev,Adv,Wrong,pure_adv,Train
40,0.1,12.214,8.946,6.202,
40,0.2,12.404,9.26,6.432,
40,0.3,12.62,9.606,6.682,
40,0.4,12.844,9.95,6.938,
40,0.5,13.034,10.218,7.154,
40,0.6,13.252,10.552,7.4,
40,0.7,13.508,10.94,7.698,
40,0.8,13.748,11.334,7.988,
40,0.9,14.058,11.746,8.338,
40,1.0,14.29,12.098,8.606,
rd,Dev,Adv,Wrong,pure_adv,Train 
40,0.1,11.29,8.21,4.77,0
40,0.2,11.46,8.49,4.99,0
40,0.3,11.66,8.9,5.27,0
40,0.4,11.78,9.16,5.44,0
40,0.5,11.87,9.51,5.64,0
40,0.6,12.08,9.94,5.93,0
40,0.7,12.27,10.35,6.2,0
40,0.8,12.56,10.86,6.56,0
40,0.9,12.67,11.15,6.73,0
40,1.0,12.8,11.39,6.9,0
