rd,Dev,Wrong,Adv,pure_adv,Train
no_dr,0.1,15.166,17.18,12.3445327345,1
no_dr,0.2,39.01,42.99,38.8193124892,1
no_dr,0.3,65.336,69.68,67.3518742443,1
no_dr,0.4,80.552,84.974,83.7946968388,1
no_dr,0.5,88.95,93.348,92.8182760408,1
no_dr,0.6,92.776,97.13,96.9014510278,1
no_dr,0.7,94.63,98.888,98.7994472275,1
no_dr,0.8,95.428,99.588,99.5551908793,1
no_dr,0.9,95.794,99.878,99.8682846778,1
no_dr,1.0,95.944,99.976,99.9740887891,1
no_dr,0.1,15.6,17.07,11.8977384464,0
no_dr,0.2,38.48,42.47,37.801813613,0
no_dr,0.3,64.26,69.08,66.3170545176,0
no_dr,0.4,80.19,85.08,83.7211843112,0
no_dr,0.5,88.47,93.38,92.7673986671,0
no_dr,0.6,92.33,97.16,96.8971921774,0
no_dr,0.7,94.01,98.84,98.7326559598,0
no_dr,0.8,94.82,99.57,99.5302086748,0
no_dr,0.9,95.22,99.86,99.8470446848,0
no_dr,1.0,95.36,99.97,99.967223861,0
