rd,Dev,Adv,Wrong,pure_adv,Train
no_dr,0.1,5.08705114255,4.66539717084,4.63819368879,1
no_dr,0.2,15.4107725789,14.9347116431,14.9347116431,1
no_dr,0.3,27.6115342764,27.1354733406,27.1354733406,1
no_dr,0.4,37.9216539717,37.4455930359,37.4455930359,1
no_dr,0.5,46.2459194777,45.7698585419,45.7698585419,1
no_dr,0.6,54.2573449402,53.7812840044,53.7812840044,1
no_dr,0.7,61.7247007617,61.2486398259,61.2486398259,1
no_dr,0.8,68.5119695321,68.0359085963,68.0359085963,1
no_dr,0.9,74.3471164309,73.8710554951,73.8710554951,1
no_dr,1.0,79.3389553863,78.8628944505,78.8628944505,1
no_dr,0.1,7.9742110621,7.12589073634,5.80251102816,0
no_dr,0.2,19.3417034272,17.2378690193,16.5252799457,0
no_dr,0.3,32.9148286393,30.1662707838,29.7590770275,0
no_dr,0.4,43.7393959959,40.8551068884,40.5497115711,0
no_dr,0.5,51.4082117408,48.320325755,48.1167288768,0
no_dr,0.6,58.0590430947,54.9372242959,54.7675602307,0
no_dr,0.7,64.8795385137,61.6898540889,61.5541228368,0
no_dr,0.8,71.6321683068,68.4424838819,68.3067526298,0
no_dr,0.9,76.8578215134,73.6681370886,73.5324058364,0
no_dr,1.0,81.0654903291,77.8758059043,77.7400746522,0
